"id";"rank";"name";"employees";"previousrank";"revenues";"revenuechange";"profits";"profitschange";"assets";"marketvalue"
"444";"443";"Adobe Systems";"15,706";"524";"$5,854";"22.1%";"$1,168.8 ";"85.7%";"$12,707";"$64,375"
"445";"444";"Avon Products";"26,400";"370";"$5,853";"-18.4%";"-$107.6 ";"-";"$3,419";"$1,933"
"446";"445";"Terex";"18,100";"396";"$5,841";"-10.7%";"-$176.1 ";"-220.7%";"$5,007";"$3,250"
"447";"446";"NVR";"4,900";"498";"$5,835";"12.9%";"$425.3 ";"11.1%";"$2,644";"$7,851"
"448";"447";"Dana Holding";"24,900";"428";"$5,826";"-3.9%";"$640.0 ";"302.5%";"$4,860";"$2,783"
"449";"448";"Realogy Holdings";"11,800";"449";"$5,810";"1.8%";"$213.0 ";"15.8%";"$7,421";"$4,173"
"450";"449";"American Tower";"4,507";"526";"$5,786";"21.3%";"$956.4 ";"39.6%";"$30,879";"$51,921"
"451";"450";"Packaging Corp. of America";"14,000";"446";"$5,779";"0.6%";"$449.6 ";"2.9%";"$5,777";"$8,631"
"452";"451";"Citizens Financial Group";"17,600";"486";"$5,763";"9.2%";"$1,045.0 ";"24.4%";"$149,520";"$17,597"
"453";"452";"United Rentals";"12,500";"440";"$5,762";"-0.9%";"$566.0 ";"-3.2%";"$11,988";"$10,561"
"454";"453";"Clorox";"8,000";"455";"$5,761";"1.7%";"$648.0 ";"11.7%";"$4,518";"$17,294"
"455";"454";"Genesis Healthcare";"82,000";"457";"$5,733";"2.0%";"-$64.0 ";"-";"$5,779";"$408"
"456";"455";"M&T Bank Corp.";"16,487";"510";"$5,722";"14.5%";"$1,315.1 ";"21.8%";"$123,449";"$23,792"
"457";"456";"Ingredion";"11,000";"456";"$5,704";"1.5%";"$484.9 ";"20.6%";"$5,782";"$8,646"
"458";"457";"UGI";"13,105";"384";"$5,686";"-15.0%";"$364.7 ";"29.8%";"$10,847";"$8,543"
"459";"458";"Owens Corning";"16,000";"480";"$5,677";"6.1%";"$393.0 ";"19.1%";"$7,741";"$6,910"
"460";"459";"S&P Global";"20,000";"481";"$5,661";"6.6%";"$2,106.0 ";"82.2%";"$8,669";"$33,805"
"461";"460";"Markel";"10,900";"476";"$5,612";"4.5%";"$455.7 ";"-21.8%";"$25,875";"$13,623"
"462";"461";"Wyndham Worldwide";"37,800";"466";"$5,599";"1.1%";"$611.0 ";"-0.2%";"$9,819";"$8,829"
"463";"462";"Arthur J. Gallagher";"24,790";"471";"$5,595";"3.8%";"$414.4 ";"16.1%";"$11,490";"$10,148"
"464";"463";"Burlington Stores";"40,000";"500";"$5,591";"9.0%";"$215.9 ";"43.5%";"$2,575";"$6,836"
"465";"464";"First American Financial";"19,531";"497";"$5,576";"7.7%";"$343.0 ";"19.1%";"$8,832";"$4,332"
"466";"465";"Symantec";"11,000";"400";"$5,568";"-14.4%";"$2,488.0 ";"183.4%";"$11,767";"$18,986"
"467";"466";"Patterson";"7,000";"559";"$5,555";"27.0%";"$187.2 ";"-16.2%";"$3,521";"$4,393"
"468";"467";"Olin";"6,400";"761";"$5,551";"94.5%";"-$3.9 ";"-";"$8,763";"$5,444"
"469";"468";"NetApp";"12,030";"422";"$5,546";"-9.4%";"$229.0 ";"-59.1%";"$10,037";"$11,339"
"470";"469";"Raymond James Financial";"11,900";"482";"$5,520";"4.0%";"$529.4 ";"5.4%";"$31,594";"$10,958"
"471";"470";"TravelCenters of America";"20,259";"439";"$5,511";"-5.8%";"-$2.0 ";"-107.3%";"$1,660";"$241"
"472";"471";"Fiserv";"23,000";"492";"$5,505";"4.8%";"$930.0 ";"30.6%";"$9,743";"$24,741"
"473";"472";"Host Hotels & Resorts";"220,000";"472";"$5,488";"1.9%";"$762.0 ";"36.6%";"$11,408";"$13,794"
"474";"473";"Insight Enterprises";"5,930";"474";"$5,486";"2.1%";"$84.7 ";"11.7%";"$2,219";"$1,458"
"475";"474";"Mattel";"32,000";"450";"$5,457";"-4.3%";"$318.0 ";"-13.9%";"$6,494";"$8,770"
"476";"475";"AmTrust Financial Services";"8,000";"531";"$5,451";"18.1%";"$411.0 ";"-8.8%";"$22,615";"$3,158"
"477";"476";"Cincinnati Financial";"4,754";"499";"$5,449";"6.0%";"$590.7 ";"-6.8%";"$20,386";"$11,911"
"478";"477";"Simon Property Group";"4,050";"488";"$5,435";"3.2%";"$1,838.9 ";"0.6%";"$31,104";"$53,732"
"479";"478";"Western Union";"10,700";"468";"$5,423";"-1.1%";"$253.2 ";"-69.8%";"$9,420";"$9,691"
"480";"479";"KeyCorp";"15,700";"540";"$5,422";"19.4%";"$791.0 ";"-13.6%";"$136,453";"$19,238"
"481";"480";"Delek US Holdings";"1,326";"445";"$5,414";"-6.0%";"-$153.7 ";"-892.3%";"$2,985";"$1,504"
"482";"481";"Booz Allen Hamilton Holding";"22,600";"487";"$5,406";"2.5%";"$294.1 ";"26.5%";"$3,010";"$5,307"
"483";"482";"Chemours";"7,000";;"$5,400";"-";"$7.0 ";"-";"$6,060";"$7,080"
"484";"483";"Western & Southern Financial Group";"2,178";"479";"$5,398";"0.8%";"$241.2 ";"-47.2%";"$43,831";"-"
"485";"484";"Celanese";"7,293";"453";"$5,389";"-5.0%";"$900.0 ";"196.1%";"$8,357";"$12,643"
"486";"485";"Windstream Holdings";"11,870";"443";"$5,387";"-6.6%";"-$383.5 ";"-";"$11,770";"$1,038"
"487";"486";"Seaboard";"11,781";"460";"$5,379";"-3.8%";"$312.0 ";"82.5%";"$4,755";"$4,881"
"488";"487";"Essendant";"6,600";"477";"$5,369";"0.1%";"$63.9 ";"-";"$2,164";"$568"
"489";"488";"Apache";"3,727";"388";"$5,354";"-19.5%";"-$1,405.0 ";"-";"$22,519";"$19,547"
"490";"489";"Airgas";"17,000";"484";"$5,314";"0.2%";"$337.5 ";"-8.3%";"$6,135";"-"
"491";"490";"Kelly Services";"7,500";"467";"$5,277";"-4.4%";"$120.8 ";"124.5%";"$2,028";"$836"
"492";"491";"Liberty Media";"3,626";"525";"$5,276";"10.0%";"$680.0 ";"962.5%";"$31,377";"$13,055"
"493";"492";"Rockwell Collins";"19,000";"490";"$5,259";"-0.1%";"$728.0 ";"6.1%";"$7,707";"$12,711"
"494";"493";"Robert Half International";"16,400";"503";"$5,250";"3.1%";"$343.4 ";"-4.0%";"$1,778";"$6,240"
"495";"494";"CH2M Hill";"20,000";"478";"$5,236";"-2.3%";"$15.0 ";"-81.3%";"$2,671";"-"
"496";"495";"Big Lots";"23,150";"495";"$5,200";"0.2%";"$152.8 ";"7.0%";"$1,608";"$2,180"
"497";"496";"Michaels Cos.";"31,000";"517";"$5,197";"5.8%";"$378.2 ";"4.2%";"$2,148";"$4,229"
"498";"497";"Toll Brothers";"4,200";"576";"$5,170";"23.9%";"$382.1 ";"5.2%";"$9,737";"$5,872"
"499";"498";"Yahoo";"8,500";"513";"$5,169";"4.0%";"-$214.3 ";"-";"$48,083";"$44,391"
"500";"499";"Vistra Energy";"4,431";;"$5,164";"-";"-";"-";"$15,167";"$6,968"
"501";"500";"ABM Industries";"110,000";"485";"$5,145";"-2.8%";"$57.2 ";"-25.0%";"$2,281";"$2,428"
