rank,title,Previous Rank,Revenues ($M),Revenue Change,Profits ($M),Profit Change,Assets ($M),Mkt Value as of 3/29/18 ($M),Employees,CEO,CEO Title,Sector,Industry,Years on Fortune 500 List,City,State,Latitude,Longitude
498,ABM Industries,500,"$5,454 ",6.00%,$3.80 ,-93.40%,"$3,813 ","$2,200 ","140,000",Scott B. Salmirs,"President, Chief Executive Officer &  Director",Business Services,Diversified Outsourcing Services,3,New York,NY,40.7127753,-74.0059728
499,Vistra Energy,499,"$5,430 ",5.20%,($254.00),-,"$14,600 ","$8,925 ","4,150",Curtis A. Morgan,"President, Chief Executive Officer &  Director",Energy,Energy,2,Irving,TX,32.8140177,-96.9488945
500,Cintas,520,"$5,429 ",10.70%,$480.70 ,-30.70%,"$6,844 ","$18,165 ","42,000",Scott D. Farmer,Chairman &  Chief Executive Officer,Business Services,Diversified Outsourcing Services,1,Cincinnati,OH,39.1031182,-84.5120196
501,Hess,525,"$5,405 ",11.60%,"($4,074.00)",-,"$23,112 ","$15,948 ","2,075",John B. Hess,Chairman &  Chief Executive Officer,Energy,"Mining, Crude-Oil Production",-,New York,NY,40.7127753,-74.0059728
502,Host Hotels & Resorts,472,"$5,387 ",-1.80%,$564.00 ,-26.00%,"$11,693 ","$13,822 ",205,James F. Risoleo,"President, Chief Executive Officer &  Director",Financials,Real estate,-,Bethesda,MD,38.984652,-77.0947092
503,Kelly Services,490,"$5,374 ",1.80%,$71.60 ,-40.70%,"$2,378 ","$1,116 ","7,800",George S. Corona,"President, Chief Executive Officer &  Director",Business Services,Temporary Help,-,Troy,MI,42.6064095,-83.1497751
504,Genesis Healthcare,454,"$5,374 ",-6.30%,($579.00),-,"$4,788 ",$241 ,"68,700",George V. Hager Jr.,Chief Executive Officer &  Director,Health Care,Health Care: Medical Facilities,-,Kennett Square,PA,39.8467767,-75.7116032
505,Michaels Cos.,496,"$5,362 ",3.20%,$390.50 ,3.30%,"$2,300 ","$3,586 ","30,500",Carl S. Rubin,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Other,-,Irving,TX,32.8140177,-96.9488945
506,Advanced Micro Devices,565,"$5,329 ",24.70%,$43.00 ,-,"$3,540 ","$9,740 ","8,900",Lisa T. Su,"President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,-,Santa Clara,CA,37.3541079,-121.9552356
507,Zoetis,521,"$5,307 ",8.60%,$864.00 ,5.20%,"$8,586 ","$40,524 ","9,200",Juan Ram�n Alaix,Chairman &  Chief Executive Officer,Health Care,Pharmaceuticals,-,Parsippany-Troy Hills,NJ,40.8652865,-74.4173877
508,Williams-Sonoma,506,"$5,292 ",4.10%,$259.50 ,-15.00%,"$2,786 ","$4,441 ","19,350",Laura J. Alber,"President, Chief Executive Officer &  Director",Retailing,Specialty Retailers: Other,-,SF,CA,37.7749295,-122.4194155
509,Fortune Brands Home & Security,511,"$5,283 ",6.00%,$472.60 ,14.40%,"$5,511 ","$8,717 ","23,870",Christopher J. Klein,Chairman &  Chief Executive Officer,Household Products,"Home Equipment, Furnishings",-,Deerfield,IL,42.1711365,-87.8445119
510,Big Lots,495,"$5,271 ",1.40%,$189.80 ,24.20%,"$1,652 ","$1,830 ","22,900",Lisa M. Bachmann,Executive V.P.-Principal Executive Officer,Retailing,Specialty Retailers: Other,-,Columbus,OH,39.9611755,-82.9987942
511,Robert Half International,493,"$5,267 ",0.30%,$290.60 ,-15.40%,"$1,868 ","$7,194 ","17,200",Harold M. Messmer Jr.,Chairman &  Chief Executive Officer,Business Services,Temporary Help,-,Menlo Park,CA,37.4529598,-122.1817252
512,Post Holdings,508,"$5,226 ",4.00%,$48.30 ,-,"$11,877 ","$4,968 ","11,410",Robert V. Vitale,"President, Chief Executive Officer &  Director","Food, Beverages &  Tobacco",Food Consumer Products,-,St. Louis,MO,38.6270025,-90.1994042
513,Hasbro,509,"$5,210 ",3.80%,$396.60 ,-28.10%,"$5,290 ","$10,468 ","5,400",Brian D. Goldner,Chairman &  Chief Executive Officer,Household Products,"Toys, Sporting Goods",-,Pawtucket,RI,41.878711,-71.3825558
514,Hanover Insurance Group,517,"$5,184 ",4.80%,$186.20 ,20.10%,"$15,470 ","$5,017 ","4,600",John C. Roche,"President, Chief Executive Officer &  Director",Financials,Insurance: Property and Casualty (Stock),-,Worcester,MA,42.2625932,-71.8022934
515,Navient,514,"$5,179 ",4.30%,$292.00 ,-57.10%,"$114,991 ","$3,456 ","6,700",John F. Remondi,"President, Chief Executive Officer &  Director",Financials,Diversified Financials,-,Wilmington,DE,39.7390721,-75.5397878
516,Intuit,527,"$5,177 ",7.20%,$971.00 ,-0.80%,"$4,068 ","$44,397 ","8,200",Brad D. Smith,"Chairman, President &  Chief Executive Officer",Technology,Computer Software,-,Mountain View,CA,37.3860517,-122.0838511
517,Domtar,505,"$5,157 ",1.20%,($258.00),-301.60%,"$5,212 ","$2,667 ","10,000",John D. Williams,"President, Chief Executive Officer &  Director",Materials,Forest and Paper Products,-,Fort Mill,SC,35.0073697,-80.9450759
518,Marathon Oil,536,"$5,153 ",10.80%,"($5,723.00)",-,"$22,012 ","$13,707 ","2,300",Lee M. Tillman,"President, Chief Executive Officer &  Director",Energy,"Mining, Crude-Oil Production",-,Houston,TX,29.7604267,-95.3698028
519,Cerner,530,"$5,142 ",7.20%,$867.00 ,36.20%,"$6,469 ","$19,291 ","26,000",D. Brent Shafer,Chairman &  Chief Executive Officer,Health Care,Health Care: Pharmacy and Other Services,-,North Kansas City,MO,39.1429081,-94.5729781
520,Analog Devices,660,"$5,108 ",49.30%,$727.30 ,-15.60%,"$21,141 ","$33,700 ","15,300",Vincent T. Roche,"President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,-,Norwood,MA,42.1943909,-71.1989695
521,Telephone & Data Systems,504,"$5,044 ",-1.20%,$153.00 ,255.80%,"$9,295 ","$3,115 ","9,900",LeRoy T. Carlson Jr.,"President, Chief Executive Officer &  Director",Telecommunications,Telecommunications,-,Chicago,IL,41.8781136,-87.6297982
522,Essendant,487,"$5,037 ",-6.20%,($267.00),-518.10%,"$1,774 ",$294 ,"6,400",Richard D. Phillips,"President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Electronics and Office Equipment,-,Deerfield,IL,42.1711365,-87.8445119
523,Sonoco Products,531,"$5,037 ",5.30%,$175.30 ,-38.80%,"$4,558 ","$4,829 ","21,000",Robert C. Tiede,"President, Chief Executive Officer &  Director",Materials,"Packaging, Containers",-,Hartsville,SC,34.3740431,-80.0734005
524,Juniper Networks,510,"$5,027 ",0.70%,$306.20 ,-48.30%,"$9,834 ","$8,364 ","9,381",Rami Rahim,Chairman &  Chief Executive Officer,Technology,Network and Other Communications Equipment,-,Sunnyvale,CA,37.36883,-122.0363496
525,Commercial Metals,535,"$4,999 ",7.50%,$46.30 ,-15.40%,"$2,975 ","$2,394 ","8,797",Barbara R. Smith,"Chairman, President &  Chief Executive Officer",Materials,Metals,-,Irving,TX,32.8140177,-96.9488945
526,CSRA,570,"$4,993 ",17.50%,$304.00 ,248.80%,"$4,888 ","$6,759 ","18,500",Lawrence B. Prior III,Chief Executive Officer &  Director,Technology,Information Technology Services,-,Falls Church,VA,38.882334,-77.1710914
527,Under Armour,528,"$4,977 ",3.10%,($48.30),-118.80%,"$4,006 ","$6,756 ","11,350",Kevin A. Plank,Chairman &  Chief Executive Officer,Apparel,Apparel,-,Baltimore,MD,39.2903848,-76.6121893
528,RPM International,529,"$4,958 ",3.00%,$181.80 ,-48.70%,"$5,090 ","$6,372 ","14,318",Frank C. Sullivan,Chairman &  Chief Executive Officer,Chemicals,Chemicals,-,Medina,OH,41.143245,-81.8552196
529,Total System Services,579,"$4,928 ",18.20%,$586.20 ,83.40%,"$6,332 ","$15,676 ","11,800",M. Troy Woods,"Chairman, President &  Chief Executive Officer",Business Services,Financial Data Services,-,Columbus,GA,32.4609764,-84.9877094
530,Levi Strauss,542,"$4,904 ",7.70%,$281.40 ,-3.30%,"$3,355 ",$0 ,"13,800",Charles V. Bergh,"President, Chief Executive Officer &  Director",Apparel,Apparel,-,SF,CA,37.7749295,-122.4194155
531,Brunswick,547,"$4,898 ",9.10%,$146.40 ,-47.00%,"$3,358 ","$5,188 ","15,116",Mark D. Schwabero,Chairman &  Chief Executive Officer,Transportation,Transportation Equipment,-,Libertyville,IL,42.2333571,-87.9259058
532,YRC Worldwide,534,"$4,891 ",4.10%,($10.80),-150.20%,"$1,586 ",$299 ,"32,000",Darren D. Hawkins,Chief Executive Officer,Transportation,"Trucking, Truck Leasing",-,Overland Park,KS,38.9822282,-94.6707917
533,Mattel,474,"$4,882 ",-10.50%,"($1,053.80)",-431.40%,"$6,239 ","$4,523 ","28,000",Ynon Kreiz,Chief Executive Officer,Household Products,"Toys, Sporting Goods",-,El Segundo,CA,33.9191799,-118.4164652
534,FM Global,557,"$4,875 ",11.50%,$254.10 ,-68.10%,"$23,247 ",-,"5,441",Thomas A. Lawson,"Chairman, President &  Chief Executive Officer",Financials,Insurance: Property and Casualty (Stock),-,Johnston,RI,41.8205199,-71.512617
535,NiSource,545,"$4,875 ",8.50%,$128.50 ,-61.20%,"$19,962 ","$8,068 ","8,175",Joseph Hamrock,"President, Chief Executive Officer &  Director",Energy,Utilities: Gas and Electric,-,Merrillville,IN,41.4828144,-87.3328139
536,Caesars Entertainment,541,"$4,852 ",6.50%,($375.00),-,"$25,512 ","$7,838 ","65,000",Mark P. Frissora,"President, Chief Executive Officer &  Director","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",-,Las Vegas,NV,36.1699412,-115.1398296
537,Electronic Arts,556,"$4,845 ",10.20%,$967.00 ,-16.30%,"$7,718 ","$37,188 ","8,800",Andrew Wilson,Chief Executive Officer &  Director,Technology,Entertainment,-,Redwood City,CA,37.4852152,-122.2363548
538,Dynegy,561,"$4,842 ",12.10%,$76.00 ,-,"$11,771 ","$1,952 ","2,489",Curtis A. Morgan,CEO-Vistra Energy,Energy,Energy,-,Houston,TX,29.7604267,-95.3698028
539,McCormick,553,"$4,834 ",9.60%,$477.40 ,1.10%,"$10,386 ","$13,964 ","11,700",Lawrence E. Kurzius,"Chairman, President &  Chief Executive Officer","Food, Beverages &  Tobacco",Food Consumer Products,-,Sparks Glencoe,MD,39.5309389,-76.6458043
540,T. Rowe Price,573,"$4,793 ",13.50%,"$1,497.80 ",23.30%,"$7,535 ","$26,409 ","6,881",William J. Stromberg,"President, Chief Executive Officer &  Director",Financials,Securities,-,Baltimore,MD,39.2903848,-76.6121893
541,Orbital ATK,549,"$4,764 ",6.90%,$310.00 ,5.80%,"$5,666 ","$7,665 ","13,900",Blake Larson,"President, Chief Executive Officer &  Director",Aerospace &  Defense,Aerospace and Defense,-,Sterling,VA,38.9624899,-77.4380485
542,Tutor Perini,513,"$4,757 ",-4.30%,$148.40 ,54.90%,"$4,264 ","$1,098 ","10,061",Ronald N. Tutor,Chairman &  Chief Executive Officer,Engineering &  Construction,"Engineering, Construction",-,Los Angeles,CA,34.3058279,-118.4571974
543,Brookdale Senior Living,512,"$4,747 ",-4.60%,($571.40),-,"$7,675 ","$1,252 ","62,550",Lucinda M. Baier,"President, Chief Executive Officer &  Director",Health Care,Health Care: Medical Facilities,-,Brentwood,TN,36.0331164,-86.7827772
544,Huntington Bancshares,610,"$4,740 ",25.30%,"$1,186.00 ",66.60%,"$104,185 ","$16,209 ","15,770",Stephen D. Steinour,"Chairman, President &  Chief Executive Officer",Financials,Commercial Banks,-,Columbus,OH,39.9611755,-82.9987942
545,Wayfair,666,"$4,721 ",39.70%,($244.60),-,"$1,213 ","$5,977 ","7,751",Niraj S. Shah,"Co-Chairman, President &  Chief Executive Officer",Technology,Internet Services and Retailing,-,Boston,MA,42.3600825,-71.0588801
546,Rush Enterprises,575,"$4,714 ",11.80%,$172.10 ,324.20%,"$2,890 ","$1,609 ","6,825",W. M. Rush,"Chairman, President &  Chief Executive Officer",Retailing,"Automotive Retailing, Services",-,New Braunfels,TX,29.7030024,-98.1244531
547,Xylem,611,"$4,707 ",24.80%,$331.00 ,27.30%,"$6,860 ","$13,839 ","16,200",Patrick K. Decker,"President, Chief Executive Officer &  Director",Industrials,Industrial Machinery,-,Rye Brook,NY,41.0192641,-73.6834621
548,Neiman Marcus Group,515,"$4,706 ",-4.90%,($531.80),-,"$7,704 ",-,"13,700",Geoffroy van Raemdonck,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Apparel,-,Dallas,TX,32.7766642,-96.7969879
549,Hyatt Hotels,552,"$4,685 ",5.80%,$249.00 ,22.10%,"$7,672 ","$9,054 ","45,000",Mark S. Hoplamazian,"President, Chief Executive Officer &  Director","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",-,Chicago,IL,41.8781136,-87.6297982
550,Sprouts Farmers Market,585,"$4,665 ",15.30%,$158.40 ,27.50%,"$1,582 ","$3,122 ","27,000",Amin N. Maredia,Chairman &  Chief Executive Officer,Food &  Drug Stores,Food and Drug Stores,-,Phoenix,AZ,33.4483771,-112.0740373
551,Diebold Nixdorf,672,"$4,609 ",38.00%,($233.10),-,"$5,250 ","$1,170 ","23,000",Gerrard B. Schmid,"President, Chief Executive Officer &  Director",Technology,"Computers, Office Equipment",-,North Canton,OH,40.875891,-81.4023356
552,Roper Technologies,609,"$4,608 ",21.60%,$971.80 ,47.50%,"$14,316 ","$28,862 ","14,236",Brian D. Jellison,"Chairman, President &  Chief Executive Officer",Technology,"Scientific,Photographic and  Control Equipment",-,Sarasota,FL,27.3364347,-82.5306527
553,Smart & Final Stores,559,"$4,571 ",5.30%,($138.90),-1172.90%,"$1,810 ",$412 ,"7,570",David G. Hirz,"President, Chief Executive Officer &  Director",Food &  Drug Stores,Food and Drug Stores,-,Commerce,CA,34.0005691,-118.1597929
554,CommScope Holding,518,"$4,561 ",-7.40%,$193.80 ,-13.00%,"$7,042 ","$7,670 ","20,000",Marvin S. Edwards Jr.,"President, Chief Executive Officer &  Director",Technology,Network and Other Communications Equipment,-,Newton,NC,35.7344538,-81.3444573
555,Tapestry,546,"$4,488.30 ",-0.10%,$591.00 ,28.30%,"$5,831.60 ","$14,988 ",12450,Victor Luis,Chairman &  Chief Executive Officer,Apparel,Apparel,-,New York City,NY,40.7127753,-74.0059728
556,Diplomat Pharmacy,554,"$4,485 ",1.70%,$15.50 ,-45.10%,"$1,940 ","$1,493 ","2,298",Brian Griffin,Interim Chief Executive Officer &  Director,Health Care,Health Care: Pharmacy and Other Services,-,Flint,MI,43.0125274,-83.6874562
557,Chipotle Mexican Grill,599,"$4,476 ",14.70%,$176.30 ,668.40%,"$2,046 ","$9,025 ","68,890",Brian R. Niccol,Chairman &  Chief Executive Officer,"Hotels, Restaurants &  Leisure",Food Services,-,Denver,CO,39.7392358,-104.990251
558,Agilent Technologies,576,"$4,472 ",6.40%,$684.00 ,48.10%,"$8,426 ","$21,574 ","13,500",Michael R. McMullen,"President, Chief Executive Officer &  Director",Technology,"Scientific,Photographic and  Control Equipment",-,Santa Clara,CA,37.3541079,-121.9552356
559,Science Applications International,551,"$4,454 ",0.30%,$179.00 ,25.20%,"$2,073 ","$3,332 ","15,391",Anthony J. Moraco,Chairman &  Chief Executive Officer,Technology,Information Technology Services,-,Reston,VA,38.9586307,-77.3570028
560,MDU Resources Group,569,"$4,444 ",4.50%,$281.20 ,336.40%,"$6,335 ","$5,500 ","10,140",David L. Goodin,"President, Chief Executive Officer &  Director",Energy,Energy,-,Bismarck,ND,46.8083268,-100.7837392
561,Select Medical Holdings,563,"$4,444 ",3.70%,$177.20 ,53.50%,"$5,127 ","$2,313 ","36,050",David S. Chernow,"President, Chief Executive Officer &  Director",Health Care,Health Care: Medical Facilities,-,Mechanicsburg,PA,40.2142565,-77.0085876
562,Boise Cascade,597,"$4,432 ",13.30%,$83.00 ,116.90%,"$1,607 ","$1,500 ","6,370",Thomas K. Corrick,Chairman &  Chief Executive Officer,Wholesalers,Wholesalers: Diversified,-,Boise,ID,43.6150186,-116.2023137
563,National General Holdings,643,"$4,431 ",24.70%,$105.80 ,-39.80%,"$8,440 ","$2,598 ","7,570",Barry Karfunkel,"President, Chief Executive Officer &  Director",Financials,Insurance: Property and Casualty (Stock),-,New York,NY,40.7127753,-74.0059728
564,SCANA,572,"$4,407 ",4.30%,($119.00),-120.00%,"$18,739 ","$5,356 ","5,228",Jimmy E. Addison,"President, Chief Executive Officer &  Director",Energy,Utilities: Gas and Electric,-,Cayce,SC,33.9657091,-81.0739827
565,Graphic Packaging Holding,562,"$4,404 ",2.50%,$300.20 ,31.70%,"$4,863 ","$4,754 ","13,000",Michael P. Doss,"President, Chief Executive Officer &  Director",Materials,"Packaging, Containers",-,Atlanta,GA,33.7489954,-84.3879824
566,Fastenal,591,"$4,391 ",10.80%,$578.60 ,15.80%,"$2,911 ","$15,703 ","20,565",Daniel L. Florness,"President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Diversified,-,Winona,MN,44.0553908,-91.6663523
567,Schneider National,,"$4,384 ",8.40%,$389.90 ,148.60%,"$3,331 ","$4,610 ","19,600",Christopher B. Lofgren,"President, Chief Executive Officer &  Director",Transportation,"Trucking, Truck Leasing",-,Green Bay,WI,44.5133188,-88.0132958
568,Laureate Education,571,"$4,378 ",3.20%,$91.50 ,-75.40%,"$7,392 ","$2,578 ","54,500",Eilif Serck-Hanssen,Chairman &  Chief Executive Officer,Business Services,Education,-,Baltimore,MD,39.2903848,-76.6121893
569,Beacon Roofing Supply,582,"$4,377 ",6.00%,$100.90 ,12.20%,"$3,450 ","$3,609 ","5,406",Paul M. Isabella,"President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Diversified,-,Herndon,VA,38.9695545,-77.3860976
570,KB Home,634,"$4,369 ",21.50%,$180.60 ,71.00%,"$5,042 ","$2,468 ","1,915",Jeffrey T. Mezger,"Chairman, President &  Chief Executive Officer",Engineering &  Construction,Homebuilders,-,Los Angeles,CA,34.0522342,-118.2436849
571,Equinix,624,"$4,368 ",19.30%,$233.00 ,83.70%,"$18,692 ","$33,128 ","7,273",Peter F. Van Camp,"Chairman, President &  Interim Chief Executive Officer",Financials,Real estate,-,Redwood City,CA,37.4852152,-122.2363548
572,Terex,445,"$4,363 ",-25.30%,$128.70 ,-,"$3,463 ","$3,030 ","10,700",John L. Garrison Jr.,"President, Chief Executive Officer &  Director",Industrials,Construction and Farm Machinery,-,Westport,CT,41.1414717,-73.3579049
573,Crown Castle International,596,"$4,356 ",11.10%,$444.60 ,24.50%,"$32,230 ","$45,452 ","4,500",Jay A. Brown,"President, Chief Executive Officer &  Director",Financials,Real estate,-,Houston,TX,29.7604267,-95.3698028
574,CACI International,615,"$4,355 ",16.30%,$163.70 ,14.60%,"$3,911 ","$3,727 ","18,600",Kenneth Asbury,"President, Chief Executive Officer &  Director",Technology,Information Technology Services,-,Arlington,VA,38.8816208,-77.0909809
575,Watsco,574,"$4,342 ",2.90%,$208.20 ,13.90%,"$2,047 ","$6,752 ","5,200",Albert H. Nahmad,Chairman &  Chief Executive Officer,Wholesalers,Wholesalers: Diversified,-,Miami,FL,25.7616798,-80.1917902
576,Coca-Cola Bottling,701,"$4,324 ",37.00%,$96.50 ,92.50%,"$3,073 ","$1,615 ","15,500",J. Frank Harrison III,Chairman &  Chief Executive Officer,"Food, Beverages &  Tobacco",Beverages,-,Charlotte,NC,35.2270869,-80.8431267
577,Welltower,564,"$4,317 ",0.80%,$522.80 ,-51.50%,"$27,944 ","$20,246 ",392,Thomas J. DeRosa,Chairman &  Chief Executive Officer,Financials,Real estate,-,Toledo,OH,41.6528052,-83.5378674
578,ADT,,"$4,316 ",46.30%,$342.60 ,-,"$17,015 ","$5,941 ","18,000",Timothy J. Whall,"President, Chief Executive Officer &  Director",Business Services,Diversified Outsourcing Services,-,Boca Raton,FL,26.3683064,-80.1289321
579,Ametek,604,"$4,300 ",12.00%,$681.50 ,33.10%,"$7,796 ","$17,590 ","16,900",David A. Zapico,Chairman &  Chief Executive Officer,Technology,"Scientific,Photographic and  Control Equipment",-,Berwyn,PA,40.045824,-75.4395931
580,CNO Financial Group,590,"$4,297 ",7.80%,$175.60 ,-51.00%,"$33,110 ","$3,630 ","3,300",Gary C. Bhojwani,Chairman &  Chief Executive Officer,Financials,"Insurance: Life, Health (stock)",-,Carmel,IN,39.978371,-86.1180435
581,Camping World Holdings,648,"$4,285 ",21.80%,$28.40 ,-85.20%,"$2,562 ","$3,084 ","10,227",Marcus A. Lemonis,Chairman &  Chief Executive Officer,Retailing,"Automotive Retailing, Services",-,Lincolnshire,IL,42.1900249,-87.9084039
582,LPL Financial Holdings,584,"$4,282 ",5.70%,$238.90 ,24.50%,"$5,359 ","$5,510 ","3,736",Dan H. Arnold,"President, Chief Executive Officer &  Director",Financials,Securities,-,Boston,MA,42.3600825,-71.0588801
583,Noble Energy,653,"$4,256 ",21.90%,"($1,118.00)",-,"$21,476 ","$14,913 ","2,277",David L. Stover,"Chairman, President &  Chief Executive Officer",Energy,"Mining, Crude-Oil Production",-,Houston,TX,29.7604267,-95.3698028
584,Bloomin Brands,568,"$4,213 ",-0.90%,$100.20 ,140.10%,"$2,573 ","$2,256 ","94,000",Elizabeth A. Smith,"Chairman, President &  Chief Executive Officer","Hotels, Restaurants &  Leisure",Food Services,-,Tampa,FL,27.950575,-82.4571776
585,Moodys,631,"$4,204 ",16.60%,"$1,000.60 ",275.30%,"$8,594 ","$30,826 ","11,896",Raymond W. McDaniel Jr.,"President, Chief Executive Officer &  Director",Business Services,Financial Data Services,-,New York,NY,40.7127753,-74.0059728
586,Symantec,465,"$4,191 ",-24.70%,($106.00),-104.30%,"$18,174 ","$16,067 ","13,000",Gregory S. Clark,Chairman &  Chief Executive Officer,Technology,Computer Software,-,Mountain View,CA,37.3860517,-122.0838511
587,Amkor Technology,600,"$4,187 ",7.50%,$260.70 ,58.80%,"$4,522 ","$2,425 ","29,300",Stephen D. Kelley,"President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,-,Tempe,AZ,33.4255104,-111.9400054
588,Skechers U.S.A.,638,"$4,181 ",16.90%,$179.20 ,-26.40%,"$2,735 ","$6,231 ","8,150",Robert Greenberg,Chairman &  Chief Executive Officer,Apparel,Apparel,-,Manhattan Beach,CA,33.8847361,-118.4109089
589,KBR,567,"$4,171 ",-2.30%,$434.00 ,-,"$3,674 ","$2,271 ","20,000",Stuart Bradie,"President, Chief Executive Officer &  Director",Engineering &  Construction,"Engineering, Construction",-,Houston,TX,29.7604267,-95.3698028
590,Tiffany,588,"$4,170 ",4.20%,$370.10 ,-17.00%,"$5,468 ","$12,149 ","13,100",Alessandro Bogliolo,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Other,-,New York,NY,40.7127753,-74.0059728
591,Torchmark,580,"$4,156 ",0.00%,"$1,454.50 ",164.60%,"$23,475 ","$9,583 ","3,102",Gary L. Coleman/Larry M. Hutchison,Co-Chairman &  Co-Chief Executive Officer,Financials,"Insurance: Life, Health (stock)",-,McKinney,TX,33.1972465,-96.6397822
592,Broadridge Financial Solutions,749,"$4,143 ",43.00%,$326.80 ,6.30%,"$3,150 ","$12,796 ","10,000",Richard J. Daly,Chairman &  Chief Executive Officer,Business Services,Financial Data Services,-,Lake Success,NY,40.7706572,-73.7176312
593,Quad/Graphics,560,"$4,131.40 ",-4.60%,$107.20 ,138.80%,"$2,452.40 ","$1,336 ",21100,J. Joel Quadracci,"Chairman, President &  Chief Executive Officer",Media,"Publishing, Printing",-,Sussex,WI,43.13418,-88.22294
594,CF Industries Holdings,622,"$4,130 ",12.10%,$357.70 ,-,"$13,463 ","$8,805 ","2,950",W. Anthony Will,"President, Chief Executive Officer &  Director",Chemicals,Chemicals,-,Deerfield,IL,42.1711365,-87.8445119
595,Carlisle,623,"$4,090 ",11.30%,$365.50 ,46.10%,"$5,300 ","$6,408 ","14,800",D. Christian Koch,"President, Chief Executive Officer &  Director",Materials,"Building Materials, Glass",-,Scottsdale,AZ,33.4941704,-111.9260519
596,Silgan Holdings,629,"$4,090 ",13.20%,$269.70 ,75.80%,"$4,645 ","$3,074 ","12,515",Anthony J. Allott,"President, Chief Executive Officer &  Director",Materials,"Packaging, Containers",-,Stamford,CT,41.0534302,-73.5387341
597,Bemis,587,"$4,046 ",1.00%,$94.00 ,-60.20%,"$3,700 ","$4,002 ","16,582",William F. Austen,"President, Chief Executive Officer &  Director",Materials,"Packaging, Containers",-,Neenah,WI,44.1858193,-88.462609
598,CA,583,"$4,036 ",-0.40%,$775.00 ,-1.00%,"$12,610 ","$14,134 ","11,800",Michael P. Gregoire,Chairman &  Chief Executive Officer,Technology,Computer Software,-,New York,NY,40.7127753,-74.0059728
599,Hub Group,640,"$4,035 ",12.90%,$135.20 ,80.70%,"$1,671 ","$1,439 ","4,377",David P. Yeager,Chairman &  Chief Executive Officer,Transportation,Transportation and Logistics,-,Oak Brook,IL,41.8397865,-87.9535534
600,Worldpay,637,"$4,027 ",12.50%,$130.10 ,-39.00%,"$8,667 ","$25,915 ","3,560",Charles D. Drucker/Philip E.R. Jansen,Chairman &  Co-Chief Executive Officer,Business Services,Financial Data Services,-,Cincinnati,OH,39.2807348,-84.3173878
601,Ingles Markets,608,"$4,003 ",5.50%,$53.90 ,-0.60%,"$1,733 ",$686 ,"17,250",James W. Lanning,"President, Chief Executive Officer &  Director",Food &  Drug Stores,Food and Drug Stores,-,Black Mountain,NC,35.6178951,-82.3212302
602,Snap-on,618,"$4,000 ",7.80%,$557.70 ,2.10%,"$5,249 ","$8,367 ","12,600",Nicholas T. Pinchuk,"Chairman, President &  Chief Executive Officer",Industrials,Industrial Machinery,-,Kenosha,WI,42.5847425,-87.8211854
603,Dentsply Sirona,614,"$3,993 ",6.60%,"($1,550.00)",-460.50%,"$10,375 ","$11,439 ","16,100",Donald M. Casey Jr.,Chairman &  Chief Executive Officer,Health Care,Medical Products and Equipment,-,York,PA,39.9625984,-76.727745
604,Calumet Specialty Products,632,"$3,992 ",10.90%,($103.80),-,"$2,689 ",$541 ,"1,600",Timothy Go,Chief Executive Officer,Energy,Petroleum Refining,-,Indianapolis,IN,39.768403,-86.158068
605,Global Payments,669,"$3,975 ",17.90%,$468.40 ,132.20%,"$12,998 ","$17,789 ","10,000",Jeffrey S. Sloan,Chairman &  Chief Executive Officer,Business Services,Financial Data Services,-,Atlanta,GA,33.7489954,-84.3879824
606,Encompass Health,619,"$3,971.40 ",7.10%,$256.30 ,3.50%,"$4,893.70 ","$5,611 ",30935,Mark J. Tarr,"President, Chief Executive Officer &  Director",Health Care,Health Care: Medical Facilities,-,Birmingham,AL,33.5206608,-86.80249
607,Martin Marietta Materials,607,"$3,966 ",3.80%,$713.30 ,67.70%,"$8,993 ","$13,019 ","8,406",C. Howard Nye,"Chairman, President &  Chief Executive Officer",Materials,"Building Materials, Glass",-,Raleigh,NC,35.7795897,-78.6381787
608,Nasdaq,620,"$3,965 ",7.00%,$734.00 ,579.60%,"$15,786 ","$14,361 ","4,734",Adena T. Friedman,"President, Chief Executive Officer &  Director",Financials,Securities,-,New York,NY,40.7127753,-74.0059728
609,Leggett & Platt,613,"$3,944 ",5.20%,$292.60 ,-24.20%,"$3,551 ","$5,842 ","22,200",Karl G. Glassman,"President, Chief Executive Officer &  Director",Household Products,"Home Equipment, Furnishings",-,Carthage,MO,37.176447,-94.3102228
610,Universal Forest Products,687,"$3,941 ",21.60%,$119.50 ,18.10%,"$1,465 ","$1,986 ","10,000",Matthew J. Missad,Chairman &  Chief Executive Officer,Materials,"Building Materials, Glass",-,Grand Rapids,MI,42.9633599,-85.6680863
